tres.studio — Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source of truth for the site. One row = one project. Hero + up to 100 images. Designed At + URL render as a hidden link on the project page when both are filled. Descriptions render live — edit and refresh the site (≤5 min cache).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Display Name,Slug,Category,Subcategory,Location,Year,Designed At,Designed At URL,Status,Order,Tags,Description,External Link,Hero Image,Image Count,img_01,img_02,img_03,img_04,img_05,img_06,img_07,img_08,img_09,img_10,img_11,img_12,img_13,img_14,img_15,img_16,img_17,img_18,img_19,img_20,img_21,img_22,img_23,img_24,img_25,img_26,img_27,img_28,img_29,img_30,img_31,img_32,img_33,img_34,img_35,img_36,img_37,img_38,img_39,img_40,img_41,img_42,img_43,img_44,img_45,img_46,img_47,img_48,img_49,img_50,img_51,img_52,img_53,img_54,img_55,img_56,img_57,img_58,img_59,img_60,img_61,img_62,img_63,img_64,img_65,img_66,img_67,img_68,img_69,img_70,img_71,img_72,img_73,img_74,img_75,img_76,img_77,img_78,img_79,img_80,img_81,img_82,img_83,img_84,img_85,img_86,img_87,img_88,img_89,img_90,img_91,img_92,img_93,img_94,img_95,img_96,img_97,img_98,img_99,img_100
10,Wood Competition 2020,woodcomp,Architecture,School,"Auburn, AL",2020,,,Live,10,"wood, competition, academic",Auburn Architecture's 2020 wood competition entry.,,architecture/woodcomp/hero.jpg,21,architecture/woodcomp/01.jpg,architecture/woodcomp/02.jpg,architecture/woodcomp/03.jpg,architecture/woodcomp/04.jpg,architecture/woodcomp/05.jpg,architecture/woodcomp/06.jpg,architecture/woodcomp/07.jpg,architecture/woodcomp/08.jpg,architecture/woodcomp/09.jpg,architecture/woodcomp/10.jpg,architecture/woodcomp/11.jpg,architecture/woodcomp/12.jpg,architecture/woodcomp/13.jpg,architecture/woodcomp/14.jpg,architecture/woodcomp/15.jpg,architecture/woodcomp/16.jpg,architecture/woodcomp/17.jpg,architecture/woodcomp/18.jpg,architecture/woodcomp/19.jpg,architecture/woodcomp/20.jpg,architecture/woodcomp/21.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Schoolwork,schoolwork,Architecture,School,"Auburn, AL",2018 — 2022,,,Live,11,"academic, studio, drawings","Selected academic work from Auburn — studio projects, drawings, models.",,architecture/schoolwork/hero.png,21,architecture/schoolwork/01.png,architecture/schoolwork/02.png,architecture/schoolwork/03.png,architecture/schoolwork/04.png,architecture/schoolwork/05.png,architecture/schoolwork/06.png,architecture/schoolwork/07.png,architecture/schoolwork/08.png,architecture/schoolwork/09.png,architecture/schoolwork/10.png,architecture/schoolwork/11.png,architecture/schoolwork/12.png,architecture/schoolwork/13.png,architecture/schoolwork/14.png,architecture/schoolwork/15.png,architecture/schoolwork/16.png,architecture/schoolwork/17.png,architecture/schoolwork/18.png,architecture/schoolwork/19.png,architecture/schoolwork/20.png,architecture/schoolwork/21.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fifth Year Mini,fithyearmini,Architecture,School,"Auburn, AL",2021,,,Live,12,"academic, 5th year, studio",Fifth-year mini studio project.,,architecture/fithyearmini/hero.png,7,architecture/fithyearmini/01.png,architecture/fithyearmini/02.png,architecture/fithyearmini/03.png,architecture/fithyearmini/04.png,architecture/fithyearmini/05.png,architecture/fithyearmini/06.png,architecture/fithyearmini/07.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
— PERSONAL · 4 projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Photography,photography,Personal,Photography,"Alys Beach, FL",2025,,,Live,1,"photography, alys, 35mm",Photography from Alys Beach,,personal/photography/Alys/hero.jpg,18,personal/photography/Alys/01.jpg,personal/photography/Alys/02.jpg,personal/photography/Alys/03.jpg,personal/photography/Alys/04.jpg,personal/photography/Alys/05.jpg,personal/photography/Alys/06.jpg,personal/photography/Alys/07.jpg,personal/photography/Alys/08.jpg,personal/photography/Alys/09.jpg,personal/photography/Alys/10.jpg,personal/photography/Alys/11.jpg,personal/photography/Alys/12.jpg,personal/photography/Alys/13.jpg,personal/photography/Alys/14.jpg,personal/photography/Alys/15.jpg,personal/photography/Alys/16.jpg,personal/photography/Alys/17.jpg,personal/photography/Alys/18.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Personal Art,personalart,Personal,Art,Florida,2025,,,WIP,2,"art, drawing, painting",Personal artwork,,personal/personalart/hero.png,4,personal/personalart/01.png,personal/personalart/02.png,personal/personalart/03.png,personal/personalart/04.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Lightboard,lightboard,Personal,Installation,"30A, FL",2025,,,Live,3,"lightboard, installation, light",Lightboard work,,personal/lightboard/hero.jpg,18,personal/lightboard/01.jpg,personal/lightboard/02.jpg,personal/lightboard/03.jpg,personal/lightboard/04.jpg,personal/lightboard/05.jpg,personal/lightboard/06.jpg,personal/lightboard/07.jpg,personal/lightboard/08.jpg,personal/lightboard/09.jpg,personal/lightboard/10.jpg,personal/lightboard/11.jpg,personal/lightboard/12.jpg,personal/lightboard/13.jpg,personal/lightboard/14.jpg,personal/lightboard/15.jpg,personal/lightboard/16.jpg,personal/lightboard/17.jpg,personal/lightboard/18.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,My Stuff,mystuff,Personal,Misc,"30A, FL",2025,,,WIP,4,"archie, car, bike, personal",A loose collection of the things,,personal/mystuff/hero.jpg,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
— LAB · 1 projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Lab Index,lab,Lab,Index,,2025,,,Planned,1,"lab, index","See Lab sheet for full list of AI-coded projects, mini-games, and tools.",,lab/lab/hero.png,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
